Treatment,AvgTemp,WaterLeft,EcLeft,WeightedSpad,new_leaf,Size_temp,Avg_temp,Max_temp
A,35,170,0.11,56.05714286,0,19210,2800.881208,3444
A,35,170,0.11,56.27142857,0,16791,2833.042404,3618
A,35,170,0.11,56.48571429,0,17622,2860.555329,3496
A,35,170,0.11,56.7,0,18899,2862.761892,3698
A,35,170,0.11,56.33333333,0,19493,2869.983276,3560
A,35,170,0.11,55.96666667,0,25978,2830.87193,3651
A,35,170,0.11,55.6,0,30265,2844.648208,3590
A,35,170,0.11,55.23333333,0,18345,2883.10804,3545
A,35,170,0.11,54.86666667,0,20348,2866.735207,3552
A,35,170,0.11,54.5,0,19954,2881.22592,3551
A,35,170,0.11,54.73333333,0,26468,2849.382953,3638
A,35,170,0.11,54.96666667,0,17295,2871.406649,3574
A,35,170,0.11,55.2,0,25309,2898.52266,3615
A,35,170,0.11,55.43333333,1,12916,2901.079746,3581
A,35,170,0.11,55.66666667,0,15885,2901.914322,3587
A,35,170,0.11,55.9,1,21885,2875.781951,3583
A,35,170,0.11,56.71666667,0,17825,2848.711304,3550
A,35,170,0.11,57.53333333,1,20517,2885.715602,3540
A,35,170,0.11,58.35,0,25926,2849.267916,3692
A,35,170,0.11,59.16666667,0,22700,2861.439075,3491
A,35,170,0.11,59.98333333,0,18686,2907.262496,3480
A,35,170,0.11,60.8,0,22648,2881.389041,3522
A,35,170,0.11,60.8,0,23887,2805.324151,3448
A,35,170,0.11,60.8,0,30616,2826.789979,3500
A,35,170,0.11,60.8,0,21100,2852.777299,3455
B,35,155,0.185,53.6,0,22075,3007.956059,3344
B,35,155,0.185,53.6,1,16979,3050.437305,3366
B,35,155,0.185,55.05714286,1,21227,3101.645122,3480
B,35,155,0.185,56.51428571,0,15445,2825.677371,3221
B,35,155,0.185,57.97142857,0,20494,2805.019713,3213
B,35,155,0.185,59.42857143,0,18189,2816.310242,3298
B,35,155,0.185,60.88571429,1,16560,2815.376389,3373
B,35,155,0.185,62.34285714,1,14315,2827.979183,3232
B,35,155,0.185,63.8,0,18282,2808.007767,3286
B,35,155,0.185,62.86666667,1,27460,2805.28791,3250
B,35,155,0.185,61.93333333,1,19639,2750.107745,3247
B,35,155,0.185,61,0,24728,2807.358622,3275
B,35,155,0.185,60.06666667,1,20887,2798.444391,3354
B,35,155,0.185,59.13333333,0,19655,2813.517629,3340
B,35,155,0.185,58.2,0,13849,2803.81616,3302
