Treatment,Num,Date,mean_3rd_lower,,,,,,,
B,18,2,2828.567191,,,,,,,
B,19,2,2838.589503,,,,,,,
B,20,2,2836.84439,,,,,,,
B,21,2,2832.978193,,,,,,,
B,22,2,2778.778853,,,,,,,
B,23,2,2734.516594,,,,,,,
B,24,2,2764.971241,,,,,,,
B,25,2,3003.657797,,,,,,,
B,26,2,2703.657035,,,,,,,
B,27,2,2663.364033,,,,,,,
B,28,2,2936.920809,,,,,,,
B,29,2,2834.713932,,,,,,,
B,30,2,2660.089481,,,,,,,
C,1,2,2613.970973,,,,,,,
C,2,2,2675.424593,,,,,,,
C,3,2,2661.235603,,,,,,,
C,4,2,2738.019203,,,,,,,
C,5,2,2693.68717,,,,,,,
C,6,2,2741.518067,,,,,,,
C,7,2,2754.705011,,,,,,,
C,8,2,2722.30872,,,,,,,
C,9,2,2727.67061,,,,,,,
C,10,2,2731.007017,,,,,,,
C,11,2,2690.614104,,,,,,,
C,12,2,2673.898346,,,,,,,
C,13,2,2696.984621,,,,,,,
C,14,2,2664.491535,,,,,,,
C,15,2,2700.245761,,,,,,,
C,16,2,2698.132189,,,,,,,
C,17,2,2682.259231,,,,,,,
C,18,2,2701.797093,,,,,,,
C,19,2,2714.204467,,,,,,,
C,20,2,2687.259795,,,,,,,
C,21,2,2668.088832,,,,,,,
C,22,2,2667.699246,,,,,,,
C,23,2,2641.715978,,,,,,,
C,24,2,2650.779647,,,,,,,
C,25,2,2660.34815,,,,,,,
C,26,2,2713.654472,,,,,,,
C,27,2,2698.970369,,,,,,,
C,28,2,2674.274461,,,,,,,
C,29,2,2668.403189,,,,,,,
C,30,2,2671.743871,,,,,,,
D,1,2,2794.403805,,,,,,,
D,2,2,2792.479769,,,,,,,
D,3,2,2766.770173,,,,,,,
D,4,2,2725.616771,,,,,,,
D,5,2,2719.781649,,,,,,,
D,6,2,2705.550616,,,,,,,
D,7,2,2680.464286,,,,,,,
D,8,2,2625.824903,,,,,,,
D,9,2,2667.575389,,,,,,,
D,10,2,2644.017808,,,,,,,
D,11,2,2644.207464,,,,,,,
D,12,2,2631.618707,,,,,,,
D,13,2,2595.729563,,,,,,,
D,14,2,2580.698855,,,,,,,
D,15,2,2537.491782,,,,,,,
D,16,2,2561.937771,,,,,,,
D,17,2,2598.979833,,,,,,,
D,18,2,2605.349515,,,,,,,
D,19,2,2598.537308,,,,,,,
