Treatment,Num,Date,Mean Size,Max size,Std size,Mean Mean green,Mean std green,std Mean green,Depth,Mean egi,std egi,Mean vari,std vari,Mean ndi,std ndi,Mean perimeter,Max perimeter,Std perimeter,Mean angle,Max angle,Std angle
A,1,0,1685.5,1685.5,0.0,36.82384341637011,7.137469068668891,0.0,403.77777777777777,0.159883200219268,0.07983891753960716,0.05628029908923474,0.07043728885181076,-0.03557359788623553,0.05312038638770438,177.095454429505,177.095454429505,0.0,3.0478137684080084,3.0478137684080084,0.0
A,2,0,2030.5,2030.5,0.0,33.51600196947317,3.9764960573521178,0.0,556.4444444444445,0.2496361893177865,0.08672194008576532,0.039743862181743785,0.06067852275558259,-0.029387155897204576,0.054097988666505545,178.36753236814712,178.36753236814712,0.0,3.0252373701235045,3.0252373701235045,0.0
A,3,0,2594.5,2594.5,0.0,33.15183044315992,5.393429914706742,0.0,500.22222222222223,0.2809045296187034,0.09568377347771027,0.04101023438081692,0.04734712948177303,-0.03300364316461185,0.039884360106558006,219.72287142747453,219.72287142747453,0.0,3.0844727871608884,3.0844727871608884,0.0
A,4,0,2508.5,2508.5,0.0,33.325229174970104,6.008782365955075,0.0,517.7777777777778,0.15688991517202586,0.06610381538932557,0.029552079130156995,0.07286698141969827,-0.01895583631881981,0.058337066758049325,221.58073580374355,221.58073580374355,0.0,3.0768175473302097,3.0768175473302097,0.0
A,5,0,1426.0,2098.5,672.5,32.63921685582247,7.853952758174001,4.6418693757163645,407.4444444444445,0.16650997198462342,0.11094615817443436,0.007646758801141881,0.10364638606880072,-0.00021240581955208823,0.08231288328675601,154.71067811865476,193.095454429505,38.38477631085024,3.0455644979579772,3.0658916257924487,0.020327127834472103
A,6,0,3354.5,3354.5,0.0,33.79821162444113,5.1182846089510825,0.0,512.0,0.2148549387047487,0.07724234844974716,0.0401493617815301,0.06272610191407207,-0.02864852889600955,0.05147058457051476,259.37972567696687,259.37972567696687,0.0,3.0774785178022466,3.0774785178022466,0.0
A,7,0,1313.5,1313.5,0.0,38.579147640791476,13.6986003086095,0.0,1089.0,0.11272133021569836,0.07790782274649924,0.04127534753782945,0.09282729850204903,-0.02211206857068807,0.06760303557701954,144.36753236814712,144.36753236814712,0.0,3.0491928696606814,3.0491928696606814,0.0
A,8,0,1139.5,1519.5,380.0,34.28717105263158,8.542088230207874,5.475328947368423,569.1111111111112,0.13538918566894118,0.09083191871195696,0.021776137271046582,0.0985855126576418,-0.010376809589100934,0.07361945712726073,141.00357133746817,161.29646455628162,20.29289321881345,3.047288573038487,3.0543261909900767,0.007037617951590081
A,9,0,1479.5,2135.5,605.6847364759988,54.15243890578766,15.065247948060447,13.253656849096744,408.5555555555555,0.1719272461599468,0.07397195303808933,0.14720285578034134,0.12673581271310275,-0.0840400704137874,0.05850722820865065,158.95331880577405,194.16652224137047,28.230428519444324,3.0557209295126087,3.067672826446504,0.00888341102203437
A,10,0,1450.5,2063.5,613.0,48.43656627536956,12.632702514077089,4.494221314129248,501.77777777777777,0.1232573773823746,0.05747002770013065,0.11039265900381988,0.0806691577060572,-0.06272312347475352,0.050997614399125715,162.48885271170678,193.3797256769669,30.890872965260115,3.0206070571742685,3.064968442526628,0.04436138535235923
