Day,Multiclass_Accuracy
1,0.283333333333333
2,0.333333333333333
3,0.325
4,0.258333333333333
5,0.625
6,0.75
7,0.791666666666667
8,0.575
9,0.491666666666667
10,0.816666666666667
11,1
12,0.966666666666667
13,0.825
14,1
15,1
16,1
17,0.783333333333333
